Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
"What is the first step in the vulnerability audit lifecycle?",multiple-choice,"Remediation","Reporting","Inventory and planification","Scanning",,,,,,,,,,,,3," The first step in the vulnerability audit lifecycle is the inventory of assets and defining the scope and timeline of the audit. It's crucial to know what systems, networks, and applications you're working with before you begin the vulnerability audit process.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the role of CVSS in vulnerability analysis?",multiple-choice,"It assigns severity scores to vulnerabilities.","It lists all known system vulnerabilities.","It provides mitigation techniques for each known vulnerability.","It demonstrates how to exploit system vulnerabilities.",,,,,,,,,,,,1," CVSS (Common Vulnerability Scoring System) provides a way to capture the principal characteristics of a vulnerability and produce a numerical score reflecting its severity.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What does the term 'passive reconnaissance' mean in the context of ethical hacking?",multiple-choice,"The attacker directly engages with the target system","The attacker uses brute force attacks","The attacker gathers information without directly interacting with the target","The attacker uses malware to compromise the target's system",,,,,,,,,,,,3," Passive reconnaissance involves collecting information about a target without direct engagement with the target system, thereby reducing the risk of detection.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What does the 'Base Score' in CVSS represent?",multiple-choice,"It represents the intrinsic characteristics of a vulnerability that are constant over time and across user environments.","It represents the requirements for a successful exploit.","It represents the current threat and exposure landscape. ","It represents the potential impact on confidentiality, integrity, and availability.",,,,,,,,,,,,1," The 'Base Score' in CVSS represents the intrinsic characteristics of a vulnerability that are constant over time and across user environments. ","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which of the following best describes 'active reconnaissance'?",multiple-choice,"The attacker gathers information about a target without interacting with the target","The attacker directly interacts with the target to gather information","The attacker uses a third-party to gather information about the target","The attacker only observes the target without collecting any information",,,,,,,,,,,,2," Active reconnaissance involves direct interaction with the target system or network, like sending packets and analyzing responses, to gather more detailed and specific information.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What does the term 'traceroute' mean, and why is it useful in the footprinting process?",multiple-choice,"It's a technique to trace the path of network traffic; it helps understand how traffic flows through a network","It's a technique to track a user's behavior; it helps design targeted social engineering attacks","It's a technique to trace the source of a malware attack; it helps in threat hunting","It's a technique to trace the history of a document; it helps understand who had access to sensitive data",,,,,,,,,,,,1," Traceroute is a network diagnostic tool used to trace the route that packets take from one destination to another over an IP network. It's useful in the footprinting process to understand the network topology and how traffic flows through a network.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which enumeration technique involves collecting information about DNS records?",multiple-choice,"Zone Transfer","Watering Hole Attack","DNS Exhaustion","SSH Bruteforce",,,,,,,,,,,,1," Zone Transfer is an enumeration technique that involves asking for a DNS server to transfer all of the zone configured for a specific domain.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the importance of utilizing CVSS in the process of vulnerability analysis?",multiple-choice,"CVSS assigns a severity score to each vulnerability, helping to prioritize remediation efforts.","CVSS helps in password cracking of vulnerable systems.","CVSS is a tool used for launching DoS attacks.","CVSS is used to encrypt data to prevent vulnerabilities.",,,,,,,,,,,,1," CVSS, or Common Vulnerability Scoring System, is used to rate the severity of system vulnerabilities and helps organizations prioritize remediation efforts.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which protocol is primarily used in a UDP scan?",multiple-choice,"TCP","ICMP","HTTP","UDP",,,,,,,,,,,,4," A UDP scan is a type of port scan to check for listening ports in the target host. As its name suggests, it primarily uses the UDP protocol.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which phase of a penetration test focuses on gathering as much information about the target system as possible?",multiple-choice,"Gaining Access","Maintaining Access","Reconnaissance","Analysis",,,,,,,,,,,,3," The Reconnaissance phase of a penetration test involves gathering as much information as possible about the target system before attempting to breach its security.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"You're a penetration tester tasked with performing an enumeration on a client's network. What information is NOT usually obtained during enumeration?",multiple-choice,"Passwords of the users","Network infrastructure details","Machine names","Usernames of valid users",,,,,,,,,,,,1," While enumeration may provide network infrastructure details, machine names, and usernames, it generally does not include password extraction.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the primary purpose of a tool like theHarvester in the footprinting and reconnaissance phase?",multiple-choice,"To flood the target's network with traffic","To gain unauthorized access to the target's systems","To gather emails, subdomains, hosts, employee names, open ports, and banners from different public sources","To plant malware on the target's systems",,,,,,,,,,,,3," The theHarvester tool is used for gathering various types of information from different public sources like Google, Bing, LinkedIn, etc. The gathered data can include emails, subdomains, hosts, employee names, open ports, and banners, which can assist in understanding the target's environment and aid in further attack planning.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"When performing a NetBIOS enumeration, which tool might be used?",multiple-choice,"Ncat","Snmpwalk","net view","Ldapsearch",,,,,,,,,,,,3," net (and its parameter view) is a windows internal tool which can be used to perform various operations, including NetBIOS enumerations.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
