"Which of the following files in /usr/src/linux/Documentation provides guidelines specifically for writing and configuring loadable kernel modules?",multiple-choice,"Documentation/kbuild/modules.txt","Documentation/kbuild/modules.txt contains detailed instructions on how to write, build, and configure kernel modules using the kbuild system.","Documentation/devicetree/bindings/bind.txt","Documentation/devicetree/bindings/bind.txt describes Device Tree binding syntax and is unrelated to kernel modules.","Documentation/power/power_states.txt","Documentation/power/power_states.txt covers system power states (suspend, hibernate) and has no module API details.","Documentation/filesystems/ext4.txt","Documentation/filesystems/ext4.txt describes the ext4 filesystem; it does not discuss general kernel module development.",,,,,"1","The file Documentation/kbuild/modules.txt in the kernel source tree is the official reference for developers on how to implement, build, and configure loadable kernel modules under the kbuild system.","Topic 201.1 Linux Kernel components"
"After successfully compiling a custom Linux kernel, which of the following steps should you perform to make the new kernel bootable (select all that apply)?",multi-select,"make bzImage","This target builds the compressed kernel image (bzImage) for installation under /boot.","make modules_install","This target installs all compiled kernel modules into /lib/modules/<new-version>.","mkinitramfs -o /boot/initrd.img-<new-version> <new-version>","This command generates an initial ramdisk image under /boot for the new kernel.","make mrproper","This target cleans the source tree completely (including .config), which is not required for making the kernel bootable and would remove your configuration.",,,,,"1,2,3","Once you have configured and compiled the kernel, you must install the kernel image (make bzImage) so it’s available under /boot, install the modules (make modules_install) so they reside in /lib/modules/<new-version>, and generate an initramfs or initrd (mkinitramfs or mkinitrd) so the kernel can load essential modules at boot. The make mrproper target is used for cleaning the source tree and would remove your .config, so it is not part of the boot preparation steps.","201.2 Compiling a Linux kernel"
"After running depmod for a newly compiled kernel, which files are typically generated under /lib/modules/$(uname -r)/?",multi-select,"modules.dep","modules.dep contains the dependency list for all modules.","modules.alias","modules.alias maps module alias names to real module filenames.","modules.softdep","modules.softdep lists soft dependencies between modules.","modules.symbols","modules.symbols indexes exported symbol names and which module provides them.","modules.cache","modules.cache is not a standard output file created by depmod.",,,,"1,2,3,4","When you run depmod against a kernel tree, it scans all installed modules under /lib/modules/$(uname -r)/ and generates several files that the kernel and module loader use: modules.dep, modules.alias, modules.softdep, modules.symbols (among others such as modules.devname, modules.order, and modules.builtin). There is no modules.cache file created by default.","201.2 Compiling a Linux kernel"
"Once you have configured the Linux kernel source in /usr/src/linux for an x86 system, which make target will produce the bootable compressed kernel image?",multiple-choice,"make zImage","make zImage builds a 16-bit compressed kernel image used on some older or embedded architectures, not the standard 32/64-bit PC boot image.","make bzImage","make bzImage builds the 32/64-bit bootable kernel image for x86 platforms, placing it in arch/x86/boot/bzImage.","make modules","make modules compiles only the kernel modules (.ko files); it does not produce a bootable kernel image.","make install","make install copies the built kernel and associated files to /boot and updates bootloader entries, but it does not itself compile the image.",,,,,"2","On x86 and x86_64 platforms, the standard bootable image is built with the bzImage target. This creates the compressed kernel in arch/x86/boot/bzImage, which you then install (typically using make install) for your bootloader to load.","201.1 Kernel components"
"Which make target should you run in the Linux kernel source tree to remove all generated files, kernel configuration, and backup files, returning the source to a pristine state?",multiple-choice,"make clean","make clean only removes most object files and temporary files, but retains the .config and other generated metadata.","make mrproper","make mrproper removes everything generated in previous builds, including object files, .config, backup files, and editor temporary files.","make modules","make modules only compiles kernel modules; it does not remove any files.","make modules_install","make modules_install installs compiled modules into /lib/modules/; it does not perform any cleaning.",,,,,"2","The make mrproper target performs a deep clean of the kernel source tree, deleting all build artifacts, the .config file, and backup or temporary files, effectively restoring the tree to its freshly unpacked state.","201.2 Compiling a Linux kernel"
"Which of the following statements correctly describe bzImage in the context of building and booting the Linux kernel?",multi-select,"bzImage is a compressed kernel image that supports sizes larger than 512 KB","Correct. The original zImage format is limited to around 512 KB; bzImage was introduced to allow much larger kernels.","bzImage is loaded at high memory above the first megabyte (1 MB)","Correct. bzImage places its decompression stub and payload above the 1 MB boundary to avoid real-mode memory constraints.","bzImage uses the xz compression format by default","Incorrect. By default, bzImage uses gzip compression; xz or other formats can be selected but are not the default.","bzImage stands for “big zImage” and employs a small stub loader to copy the kernel to high memory before decompression","Correct. The name literally means “big zImage,” and it uses a small real-mode loader (stub) to move itself to high memory before unpacking.",,,,,"1,2,4","bzImage was designed to overcome the size limits of the original zImage by relocating the decompression stub and payload above 1 MB. It retains gzip compression by default (though other compressors like xz can be configured) and uses a tiny real-mode loader to copy the kernel into high memory before decompression, hence the term “big zImage.”","Topic 201: Linux Kernel"
"Which of the following methods/tools can you use to monitor the number of processes waiting for CPU time, in order to predict when the CPU will become a bottleneck?",multi-select,"Use sar -q to monitor the run queue length","sar -q reports the average run queue length, which tells you how many processes are waiting for CPU.","Use vmstat and observe the 'r' column (processes waiting)","vmstat’s 'r' column shows the number of processes waiting for run time on the CPU.","Use top to monitor the DISK I/O wait time","top can show CPU usage and I/O wait but it does not directly report the run queue length metric needed for CPU saturation prediction.","Use df -h to monitor CPU utilization","df -h reports filesystem disk usage, not CPU metrics.",,,,,"1,2","To predict when the CPU will be saturated, you monitor the run queue length—the number of processes waiting to run. sar -q provides a historical view of the run queue, and vmstat’s 'r' column shows the instantaneous run queue length. Neither df nor top’s disk I/O wait metric directly measures how many processes are waiting for CPU time.","200.2 Predict Future Resource Needs"
"Your /var filesystem is 50 GB in size. Historical data shows it currently holds 30 GB and has been growing linearly at about 2 GB per week. Using this trend, how many weeks from now will /var run out of space?",multiple-choice,"5 weeks","5 weeks – Incorrect. At 2 GB per week, 5 weeks would add only 10 GB, reaching 40 GB, not full capacity.","10 weeks","10 weeks – Correct. With 30 GB used and 20 GB free, growing at 2 GB/week, 20 GB ÷ 2 GB/week = 10 weeks.","12.5 weeks","12.5 weeks – Incorrect. That would correspond to 25 GB growth, overshooting the free 20 GB capacity.","20 weeks","20 weeks – Incorrect. 20 weeks at 2 GB/week = 40 GB growth, which is far beyond the 20 GB free.",,,,,"2","To predict a capacity break point, determine the remaining free space (50 GB total – 30 GB used = 20 GB) and divide by the observed growth rate (2 GB/week). 20 GB / 2 GB per week = 10 weeks until exhaustion.","200.2 Predict Future Resource Needs"
"A Linux system exhibits a high load average while “top” shows low CPU utilization across all cores. Which of the following is the most likely cause?",multiple-choice,"A large number of CPU-bound processes consuming all CPU cycles","If CPU-bound processes were consuming CPU, top would show high CPU utilization.","A large number of processes waiting for I/O","Processes waiting on I/O remain in uninterruptible sleep, contributing to load average without using CPU.","Many zombie (defunct) processes","Zombie processes do not contribute to load average once they have completed execution.","High network bandwidth saturation","Network saturation affects throughput but does not directly increase the system load average.",,,,,"2","Load average measures the number of processes in runnable or uninterruptible sleep states. When processes wait for disk or other I/O, they enter uninterruptible sleep (D state), raising load average even though the CPU remains idle. This discrepancy between load average and CPU utilization is a strong indicator of an I/O bottleneck.","Topic 200: Capacity Planning"
"What is the primary purpose of the /lib/modules/$(uname -r)/ directory on a Linux system?",multiple-choice,"It contains the kernel source code used for recompilation.","The kernel source code resides under /usr/src/linux, not under /lib/modules.","It holds the compiled kernel modules and their dependency metadata for the running kernel version.","Correct. /lib/modules/$(uname -r)/ contains the .ko module files, module dependency lists, and related configuration for that specific kernel version.","It stores the initramfs images and bootloader configuration files.","Initramfs images are usually under /boot and bootloader configs under /boot/grub or /etc, not in /lib/modules.","It includes user-space libraries needed by kernel utilities.","User-space libraries for kernel utilities are found under /lib or /usr/lib, not in the module directory.",,,,,"2","When you compile and install a new kernel, its modules (.ko files) and the generated dependency files (modules.dep, map files, etc.) are placed under /lib/modules/<kernel-version>/. The depmod utility scans this directory to build the dependency database used by modprobe and other module management tools.","201.2 Compiling a Linux kernel"
